,buyAmount,minBuyAmount,aggregatorName,datetime_received,3rd_party_response_success,chainId,systemName,slippageBps,taker,sellToken,buyToken,sellAmount,includeSources,excludeSources,sellAll,timeoutMS,method,url,buy_amount_norm,min_buy_amount_norm,sell_amount_norm,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,label,batch_id
0,199858412592651533278615,199788462148244105241967,Lifi,2025-09-23 23:29:22.980252+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x853d955aCEf822Db058eb8505911ED77F175b99e,200000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199858.41259265153,199788.4621482441,200000.0,0.9992920629632577,0.9989423107412205,FRAX,crvUSD,crvUSD -> FRAX,0
1,99433752185203031277568,99398950371938210216621,Lifi,2025-09-23 23:29:23.431307+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99433.75218520303,99398.95037193822,100000.0,0.9943375218520303,0.9939895037193822,USDe,FRAX,FRAX -> USDe,0
2,99789952655683158540288,99755026172253669434799,Lifi,2025-09-23 23:29:23.664886+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,100000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99789.95265568316,99755.02617225367,100000.0,0.9978995265568316,0.9975502617225367,crvUSD,USDT,USDT -> crvUSD,0
3,249607468267777921304488,249520105653884199032031,Lifi,2025-09-23 23:29:22.794748+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,250000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249607.46826777793,249520.1056538842,250000.0,0.9984298730711118,0.9980804226155369,GHO,USDT,USDT -> GHO,0
4,249597803016576900000000,249510443785521098085000,Lifi,2025-09-23 23:29:22.792587+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249597.8030165769,249510.44378552109,250000.0,0.9983912120663075,0.9980417751420844,crvUSD,USDe,USDe -> crvUSD,0
5,49828624604282009985439,49811184585670511281944,Lifi,2025-09-23 23:29:22.795845+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,50000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49828.62460428201,49811.18458567051,50000.0,0.9965724920856402,0.9962236917134102,USDe,USDC,USDC -> USDe,0
6,99655706024893607328608,99620826527784894566043,Lifi,2025-09-23 23:29:23.001560+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,100000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99655.7060248936,99620.8265277849,100000.0,0.996557060248936,0.996208265277849,USDe,USDC,USDC -> USDe,0
7,199385537721064644025987,199315752782862271400578,Lifi,2025-09-23 23:29:22.808937+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,200000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199385.53772106464,199315.75278286228,200000.0,0.9969276886053232,0.9965787639143114,USDe,USDT,USDT -> USDe,0
8,199789142127882656546816,199719215928137897617025,Lifi,2025-09-23 23:29:23.722378+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,200000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199789.14212788266,199719.21592813788,200000.0,0.9989457106394133,0.9985960796406894,GHO,USDe,USDe -> GHO,0
9,149540102763512615895813,149487763727545386480249,Lifi,2025-09-23 23:29:26.414341+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,150000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149540.1027635126,149487.7637275454,150000.0,0.9969340184234173,0.9965850915169693,USDe,USDT,USDT -> USDe,0
