,buyAmount,minBuyAmount,aggregatorName,datetime_received,3rd_party_response_success,chainId,systemName,slippageBps,taker,sellToken,buyToken,sellAmount,includeSources,excludeSources,sellAll,timeoutMS,method,url,buy_amount_norm,min_buy_amount_norm,sell_amount_norm,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,label
0,149909768042103030000000,149857299623288293939500,Lifi,2025-09-23 18:46:30.858957+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x853d955aCEf822Db058eb8505911ED77F175b99e,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149909.76804210304,149857.2996232883,150000.0,0.9993984536140202,0.9990486641552554,FRAX,crvUSD,crvUSD -> FRAX
1,149344321631407011004416,149292051118836018550564,Lifi,2025-09-23 18:46:31.345507+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149344.32163140702,149292.051118836,150000.0,0.9956288108760468,0.99528034079224,GHO,FRAX,FRAX -> GHO
2,49833926551738762919936,49816484677445654352914,Lifi,2025-09-23 18:46:30.783533+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,50000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49833.92655173876,49816.48467744565,50000.0,0.9966785310347752,0.9963296935489131,USDe,USDC,USDC -> USDe
3,99654207560180071707885,99619328587534008682787,Lifi,2025-09-23 18:46:31.356820+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99654.20756018008,99619.32858753401,100000.0,0.9965420756018007,0.9961932858753401,USDe,crvUSD,crvUSD -> USDe
4,99512372391287229000000,99477543060950278469850,Lifi,2025-09-23 18:46:31.014355+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99512.37239128722,99477.54306095028,100000.0,0.9951237239128722,0.9947754306095028,crvUSD,FRAX,FRAX -> crvUSD
5,199583255098607368404992,199513400959322855826050,Lifi,2025-09-23 18:46:30.985245+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,200000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199583.25509860736,199513.40095932287,200000.0,0.9979162754930369,0.9975670047966143,GHO,crvUSD,crvUSD -> GHO
6,49981802470715810000000,49964308839851059466500,Lifi,2025-09-23 18:46:30.958451+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x853d955aCEf822Db058eb8505911ED77F175b99e,50000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49981.80247071581,49964.30883985106,50000.0,0.9996360494143163,0.9992861767970211,FRAX,USDC,USDC -> FRAX
7,99636613478,99601740663,Lifi,2025-09-23 18:46:32.172211+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99636.613478,99601.740663,100000.0,0.99636613478,0.99601740663,USDT,GHO,GHO -> USDT
8,249270397022,249183152383,Lifi,2025-09-23 18:46:32.317392+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,250000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249270.397022,249183.152383,250000.0,0.997081588088,0.996732609532,USDT,USDC,USDC -> USDT
9,99848000012906961829888,99813053212902444393248,Lifi,2025-09-23 18:46:33.123756+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,100000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99848.00001290697,99813.05321290244,100000.0,0.9984800001290697,0.9981305321290244,GHO,USDT,USDT -> GHO
10,199332545470349255938818,199262779079434633699239,Lifi,2025-09-23 18:46:34.445871+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,200000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199332.54547034926,199262.77907943464,200000.0,0.9966627273517463,0.9963138953971732,USDe,USDC,USDC -> USDe
11,49973304408603703115776,49955813752060691819685,Lifi,2025-09-23 18:46:35.329745+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x853d955aCEf822Db058eb8505911ED77F175b99e,50000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49973.304408603704,49955.81375206069,50000.0,0.999466088172074,0.9991162750412138,FRAX,crvUSD,crvUSD -> FRAX
12,199568737489,199498888431,Lifi,2025-09-23 18:46:36.530107+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0xdAC17F958D2ee523a2206206994597C13D831ec7,200000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,199568.737489,199498.888431,200000.0,0.997843687445,0.997494442155,USDT,USDe,USDe -> USDT
