         587277657 function calls (575257148 primitive calls) in 589.506 seconds

   Ordered by: cumulative time
   List reduced from 4949 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.003    0.001  589.832  589.832 constants.py:270(wrapper)
        1    0.002    0.002  589.832  589.832 ensure_all_tables_are_current.py:64(ensure_database_is_current)
        1    0.042    0.042  279.004  279.004 update_destination_token_values_tables.py:371(ensure_destination_token_values_are_current)
        9    0.035    0.004  278.927   30.992 update_destination_token_values_tables.py:355(_fetch_and_insert_destination_token_values)
       85    0.001    0.000  268.969    3.164 nest_asyncio.py:25(run)
       85    0.058    0.001  268.965    3.164 nest_asyncio.py:86(run_until_complete)
    70574    1.034    0.000  268.896    0.004 nest_asyncio.py:100(_run_once)
       72    0.000    0.000  265.704    3.690 get_state_by_block.py:73(get_raw_state_by_blocks)
        9    0.000    0.000  157.791   17.532 update_destination_token_values_tables.py:297(_fetch_destination_token_values_not_idle)
    70574    0.268    0.000  150.088    0.002 selectors.py:554(select)
   117343  149.812    0.001  149.812    0.001 {method 'control' of 'select.kqueue' objects}
        9    0.000    0.000  148.930   16.548 update_destination_token_values_tables.py:106(_fetch_destination_token_value_data_from_external_source)
      869  140.471    0.162  140.492    0.162 {method 'execute' of 'psycopg2.extensions.cursor' objects}
   889656    0.306    0.000  117.199    0.000 events.py:78(_run)
   889656    0.232    0.000  116.893    0.000 {method 'run' of '_contextvars.Context' objects}
   402562    0.669    0.000  104.979    0.000 tasks.py:215(__step)
   401523    0.123    0.000  103.332    0.000 {method 'send' of 'coroutine' objects}
        1    0.003    0.003   93.476   93.476 update_rebalance_events.py:144(ensure_rebalance_events_are_current)
    87874    0.097    0.000   93.357    0.001 multicall.py:78(fetch_outputs)
    96055    0.117    0.000   92.615    0.001 get_state_by_block.py:143(_fetch_data)
      297    0.003    0.000   90.522    0.305 base.py:1788(_execute_context)
      297    0.007    0.000   90.487    0.305 base.py:1847(_exec_single_context)
      297    0.001    0.000   90.390    0.304 default.py:944(do_execute)
      293    0.001    0.000   90.111    0.308 elements.py:514(_execute_on_connection)
      293    0.004    0.000   90.110    0.308 base.py:1588(_execute_clauseelement)
      194    0.001    0.000   90.045    0.464 base.py:1372(execute)
   281790    0.104    0.000   86.339    0.000 utils.py:77(run_in_subprocess)
        9    0.000    0.000   84.161    9.351 update_destination_token_values_tables.py:315(_fetch_destination_token_values_idle)
   259477    0.090    0.000   74.954    0.000 signature.py:73(encode_data)
   118150    0.102    0.000   74.832    0.001 codec.py:94(encode)
