Unnamed: 0.1,Unnamed: 0,buyAmount,minBuyAmount,aggregatorName,datetime_received,3rd_party_response_success,chainId,systemName,slippageBps,taker,sellToken,buyToken,sellAmount,includeSources,excludeSources,sellAll,timeoutMS,method,url,buy_amount_norm,min_buy_amount_norm,sell_amount_norm,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,label,batch_id,unix_timestamp,buy_token_price,sell_token_price,block,found_timestamp
200,50,249345508777,249258237849,Lifi,2025-09-23 19:05:24.563617+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249345.508777,249258.237849,250000.0,0.997382035108,0.997032951396,USDC,crvUSD,crvUSD -> USDC,,1758654324,1.0,0.999628,23427708,1758654335
201,51,149939371209771150475264,149886892429847730572598,Lifi,2025-09-23 19:05:25.836559+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x853d955aCEf822Db058eb8505911ED77F175b99e,150000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149939.37120977114,149886.89242984774,150000.0,0.9995958080651408,0.9992459495323184,FRAX,USDC,USDC -> FRAX,,1758654325,0.997628,1.0,23427708,1758654335
202,52,249595278540,249507920193,Lifi,2025-09-23 19:05:27.070354+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249595.27854,249507.920193,250000.0,0.99838111416,0.998031680772,USDC,USDe,USDe -> USDC,,1758654327,1.0,1.001408,23427708,1758654335
203,53,149527257522,149474922982,Lifi,2025-09-23 19:05:28.322472+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149527.257522,149474.922982,150000.0,0.99684838348,0.9964994865466666,USDC,GHO,GHO -> USDC,,1758654328,1.0,0.999873,23427708,1758654335
204,54,99699627725,99664732855,Lifi,2025-09-23 19:05:30.564047+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99699.627725,99664.732855,100000.0,0.99699627725,0.99664732855,USDT,crvUSD,crvUSD -> USDT,,1758654330,1.000798,0.999628,23427708,1758654335
205,55,249246570666,249159334366,Lifi,2025-09-23 19:05:31.372115+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xdAC17F958D2ee523a2206206994597C13D831ec7,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249246.570666,249159.334366,250000.0,0.996986282664,0.996637337464,USDT,crvUSD,crvUSD -> USDT,,1758654331,1.000798,0.999628,23427708,1758654335
206,56,249605732116172380307456,249518370109931719974348,Lifi,2025-09-23 19:05:32.161907+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,250000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249605.7321161724,249518.3701099317,250000.0,0.9984229284646896,0.9980734804397268,GHO,USDT,USDT -> GHO,,1758654332,0.999873,1.000798,23427708,1758654335
207,57,99749161195975024312320,99714248989556433053811,Lifi,2025-09-23 19:05:33.319754+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,100000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99749.16119597504,99714.24898955644,100000.0,0.9974916119597504,0.9971424898955644,crvUSD,USDC,USDC -> crvUSD,,1758654333,0.999628,1.0,23427708,1758654335
208,58,249120016066644309000000,249032824061020983491850,Lifi,2025-09-23 19:05:34.577825+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249120.0160666443,249032.824061021,250000.0,0.9964800642665772,0.996131296244084,USDe,crvUSD,crvUSD -> USDe,,1758654334,1.001408,0.999628,23427708,1758654335
209,59,249589438950756000000000,249502082647123235400000,Lifi,2025-09-23 19:05:35.867058+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249589.438950756,249502.08264712323,250000.0,0.998357755803024,0.9980083305884928,crvUSD,USDe,USDe -> crvUSD,,1758654335,0.999628,1.001408,23427708,1758654335
210,60,250013274992033334000000,249925770345786122333100,Lifi,2025-09-23 19:05:37.094704+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x853d955aCEf822Db058eb8505911ED77F175b99e,250000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,250013.27499203337,249925.77034578612,250000.0,1.0000530999681334,0.9997030813831445,FRAX,USDT,USDT -> FRAX,,1758654337,0.997628,1.000798,23427709,1758654347
211,61,248994929478566536019968,248907781253249037732361,Lifi,2025-09-23 19:05:40.828683+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,248994.92947856657,248907.78125324904,250000.0,0.9959797179142662,0.995631125012996,USDe,GHO,GHO -> USDe,,1758654340,1.001408,0.999873,23427709,1758654347
212,62,49850571408146490720256,49833123708153639448504,Lifi,2025-09-23 19:05:40.803352+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,50000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49850.57140814649,49833.12370815364,50000.0,0.9970114281629298,0.9966624741630729,USDe,USDT,USDT -> USDe,,1758654340,1.001408,1.000798,23427709,1758654347
213,63,49897383787069676978176,49879919702744202591234,Lifi,2025-09-23 19:05:40.852952+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,50000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,49897.38378706967,49879.9197027442,50000.0,0.9979476757413934,0.997598394054884,GHO,crvUSD,crvUSD -> GHO,,1758654340,0.999873,0.999628,23427709,1758654347
214,64,150066590538926070431744,150014067232237446307093,Lifi,2025-09-23 19:05:42.085578+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x853d955aCEf822Db058eb8505911ED77F175b99e,150000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,150066.59053892607,150014.06723223746,150000.0,1.0004439369261735,1.0000937815482498,FRAX,USDe,USDe -> FRAX,,1758654342,0.997628,1.001408,23427709,1758654347
215,65,249473551597455302000000,249386235854396192644300,Lifi,2025-09-23 19:05:43.326379+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,250000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,249473.5515974553,249386.2358543962,250000.0,0.9978942063898212,0.9975449434175848,GHO,crvUSD,crvUSD -> GHO,,1758654343,0.999873,0.999628,23427709,1758654347
216,66,149680211157488760782848,149627823083583639716574,Lifi,2025-09-23 19:05:47.969748+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,150000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,149680.21115748875,149627.82308358364,150000.0,0.9978680743832584,0.9975188205572244,crvUSD,USDT,USDT -> crvUSD,,1758654347,0.999628,1.000798,23427709,1758654347
