,buyAmount,minBuyAmount,aggregatorName,datetime_received,3rd_party_response_success,chainId,systemName,slippageBps,taker,sellToken,buyToken,sellAmount,includeSources,excludeSources,sellAll,timeoutMS,method,url,buy_amount_norm,min_buy_amount_norm,sell_amount_norm,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol
0,99745131203226813595648,99710220407305684210890,Lifi,2025-09-23 18:02:51.610783+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99745.13120322682,99710.22040730568,100000.0,0.9974513120322682,0.9971022040730568,frxUSD,crvUSD
1,99739557904,99704649059,Lifi,2025-09-23 18:02:51.600037+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99739.557904,99704.649059,100000.0,0.99739557904,0.9970464905900001,USDC,crvUSD
2,99648138364495342458784,99613261516067769088923,Lifi,2025-09-23 18:02:51.580786+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99648.13836449535,99613.26151606777,100000.0,0.9964813836449534,0.9961326151606776,USDe,crvUSD
3,99801289235447844700160,99766358784215437954515,Lifi,2025-09-23 18:02:51.489506+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99801.28923544784,99766.35878421544,100000.0,0.9980128923544784,0.9976635878421544,GHO,crvUSD
4,99695776112,99660882590,Lifi,2025-09-23 18:02:51.309396+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99695.776112,99660.88259,100000.0,0.9969577611200001,0.9966088258999999,USDT,crvUSD
5,99936753945163670000000,99901776081282862715500,Lifi,2025-09-23 18:02:51.448734+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0x853d955aCEf822Db058eb8505911ED77F175b99e,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99936.75394516367,99901.77608128286,100000.0,0.9993675394516367,0.9990177608128287,FRAX,crvUSD
6,99723524035876599069688,99688620802464042260014,Lifi,2025-09-23 18:02:51.684541+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99723.5240358766,99688.62080246405,100000.0,0.997235240358766,0.9968862080246406,crvUSD,frxUSD
7,99717915091,99683013821,Lifi,2025-09-23 18:02:51.457720+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99717.915091,99683.013821,100000.0,0.99717915091,0.99683013821,USDC,frxUSD
8,99625892450934812835840,99591023388576985651347,Lifi,2025-09-23 18:02:51.484985+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99625.89245093481,99591.02338857698,100000.0,0.9962589245093482,0.9959102338857698,USDe,frxUSD
9,99775890583873717796864,99740969022169361995635,Lifi,2025-09-23 18:02:51.904258+00:00,True,1,gen3,3.5,0x000000000000000000000000000000000000dEaD,0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,100000000000000000000000,,Bebop,True,20000,POST,https://swaps-pricing.tokemaklabs.com/swap-quote-v2,99775.89058387371,99740.96902216936,100000.0,0.9977589058387372,0.9974096902216936,GHO,frxUSD
